record_id,category,subcategory,brand,product_line,variant,model_name,production_year,generation_tag,launch_year_est,end_year_est,tier,price_usd_msrp_est,egypt_original_price_egp_est,egypt_current_replacement_price_egp_est,egypt_direct_price_egp_if_seen,usd_egp_rate_used,egypt_import_retail_multiplier,price_source_type,confidence,global_source_url,egypt_source_url,aliases_for_fuzzy_matching,training_use_note,notes
TCAT-000011,Bag,Tennis bag,Artengo,Tennis Bag,L Team,Artengo Tennis Bag L Team,2019,2018-2019 generation,2018,2026,bag,40.39,850,3250,,16.77,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag L Team; Tennis Bag L Team; artengo tennis bag l team; tennis bag l team,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000012,Bag,Tennis bag,Artengo,Tennis Bag,L Team,Artengo Tennis Bag L Team,2020,2020-2021 generation,2018,2026,bag,41.52,800,3250,,15.75,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag L Team; Tennis Bag L Team; artengo tennis bag l team; tennis bag l team,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000013,Bag,Tennis bag,Artengo,Tennis Bag,L Team,Artengo Tennis Bag L Team,2021,2020-2021 generation,2018,2026,bag,42.68,850,3250,,15.68,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag L Team; Tennis Bag L Team; artengo tennis bag l team; tennis bag l team,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000014,Bag,Tennis bag,Artengo,Tennis Bag,L Team,Artengo Tennis Bag L Team,2022,2022-2023 generation,2018,2026,bag,43.88,1050,3250,,19.16,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag L Team; Tennis Bag L Team; artengo tennis bag l team; tennis bag l team,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000015,Bag,Tennis bag,Artengo,Tennis Bag,L Team,Artengo Tennis Bag L Team,2023,2022-2023 generation,2018,2026,bag,45.1,1750,3250,,30.9,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag L Team; Tennis Bag L Team; artengo tennis bag l team; tennis bag l team,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000016,Bag,Tennis bag,Artengo,Tennis Bag,L Team,Artengo Tennis Bag L Team,2024,2024-2025 generation,2018,2026,bag,46.37,2750,3250,,47.7,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag L Team; Tennis Bag L Team; artengo tennis bag l team; tennis bag l team,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000017,Bag,Tennis bag,Artengo,Tennis Bag,L Team,Artengo Tennis Bag L Team,2025,2024-2025 generation,2018,2026,bag,47.67,2950,3250,,49.5,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag L Team; Tennis Bag L Team; artengo tennis bag l team; tennis bag l team,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000018,Bag,Tennis bag,Artengo,Tennis Bag,L Team,Artengo Tennis Bag L Team,2026,2026 generation/current,2018,2026,bag,49.0,3250,3250,,52.97,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag L Team; Tennis Bag L Team; artengo tennis bag l team; tennis bag l team,Use as market-reference/original-price feature seed; not a used-sale target row.,
TCAT-000019,Bag,Tennis bag,Artengo,Tennis Bag,M Team,Artengo Tennis Bag M Team,2018,2018-2019 generation,2018,2026,bag,39.29,900,3250,,17.86,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag M Team; Tennis Bag M Team; artengo tennis bag m team; tennis bag m team,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000020,Bag,Tennis bag,Artengo,Tennis Bag,M Team,Artengo Tennis Bag M Team,2019,2018-2019 generation,2018,2026,bag,40.39,850,3250,,16.77,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag M Team; Tennis Bag M Team; artengo tennis bag m team; tennis bag m team,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000021,Bag,Tennis bag,Artengo,Tennis Bag,M Team,Artengo Tennis Bag M Team,2020,2020-2021 generation,2018,2026,bag,41.52,800,3250,,15.75,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag M Team; Tennis Bag M Team; artengo tennis bag m team; tennis bag m team,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000022,Bag,Tennis bag,Artengo,Tennis Bag,M Team,Artengo Tennis Bag M Team,2021,2020-2021 generation,2018,2026,bag,42.68,850,3250,,15.68,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag M Team; Tennis Bag M Team; artengo tennis bag m team; tennis bag m team,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000023,Bag,Tennis bag,Artengo,Tennis Bag,M Team,Artengo Tennis Bag M Team,2022,2022-2023 generation,2018,2026,bag,43.88,1050,3250,,19.16,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag M Team; Tennis Bag M Team; artengo tennis bag m team; tennis bag m team,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000024,Bag,Tennis bag,Artengo,Tennis Bag,M Team,Artengo Tennis Bag M Team,2023,2022-2023 generation,2018,2026,bag,45.1,1750,3250,,30.9,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag M Team; Tennis Bag M Team; artengo tennis bag m team; tennis bag m team,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000025,Bag,Tennis bag,Artengo,Tennis Bag,M Team,Artengo Tennis Bag M Team,2024,2024-2025 generation,2018,2026,bag,46.37,2750,3250,,47.7,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag M Team; Tennis Bag M Team; artengo tennis bag m team; tennis bag m team,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000026,Bag,Tennis bag,Artengo,Tennis Bag,M Team,Artengo Tennis Bag M Team,2025,2024-2025 generation,2018,2026,bag,47.67,2950,3250,,49.5,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag M Team; Tennis Bag M Team; artengo tennis bag m team; tennis bag m team,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000027,Bag,Tennis bag,Artengo,Tennis Bag,M Team,Artengo Tennis Bag M Team,2026,2026 generation/current,2018,2026,bag,49.0,3250,3250,,52.97,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag M Team; Tennis Bag M Team; artengo tennis bag m team; tennis bag m team,Use as market-reference/original-price feature seed; not a used-sale target row.,
TCAT-000028,Bag,Tennis bag,Artengo,Tennis Bag,S Team,Artengo Tennis Bag S Team,2018,2018-2019 generation,2018,2026,bag,39.29,900,3250,,17.86,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag S Team; Tennis Bag S Team; artengo tennis bag s team; tennis bag s team,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000029,Bag,Tennis bag,Artengo,Tennis Bag,S Team,Artengo Tennis Bag S Team,2019,2018-2019 generation,2018,2026,bag,40.39,850,3250,,16.77,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag S Team; Tennis Bag S Team; artengo tennis bag s team; tennis bag s team,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000030,Bag,Tennis bag,Artengo,Tennis Bag,S Team,Artengo Tennis Bag S Team,2020,2020-2021 generation,2018,2026,bag,41.52,800,3250,,15.75,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag S Team; Tennis Bag S Team; artengo tennis bag s team; tennis bag s team,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000031,Bag,Tennis bag,Artengo,Tennis Bag,S Team,Artengo Tennis Bag S Team,2021,2020-2021 generation,2018,2026,bag,42.68,850,3250,,15.68,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag S Team; Tennis Bag S Team; artengo tennis bag s team; tennis bag s team,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000032,Bag,Tennis bag,Artengo,Tennis Bag,S Team,Artengo Tennis Bag S Team,2022,2022-2023 generation,2018,2026,bag,43.88,1050,3250,,19.16,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag S Team; Tennis Bag S Team; artengo tennis bag s team; tennis bag s team,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000033,Bag,Tennis bag,Artengo,Tennis Bag,S Team,Artengo Tennis Bag S Team,2023,2022-2023 generation,2018,2026,bag,45.1,1750,3250,,30.9,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag S Team; Tennis Bag S Team; artengo tennis bag s team; tennis bag s team,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000034,Bag,Tennis bag,Artengo,Tennis Bag,S Team,Artengo Tennis Bag S Team,2024,2024-2025 generation,2018,2026,bag,46.37,2750,3250,,47.7,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag S Team; Tennis Bag S Team; artengo tennis bag s team; tennis bag s team,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000035,Bag,Tennis bag,Artengo,Tennis Bag,S Team,Artengo Tennis Bag S Team,2025,2024-2025 generation,2018,2026,bag,47.67,2950,3250,,49.5,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag S Team; Tennis Bag S Team; artengo tennis bag s team; tennis bag s team,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000036,Bag,Tennis bag,Artengo,Tennis Bag,S Team,Artengo Tennis Bag S Team,2026,2026 generation/current,2018,2026,bag,49.0,3250,3250,,52.97,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Artengo Tennis Bag; Artengo Tennis Bag S Team; Tennis Bag S Team; artengo tennis bag s team; tennis bag s team,Use as market-reference/original-price feature seed; not a used-sale target row.,
TCAT-000037,Bag,Tennis bag,Babolat,RH,6R,Babolat RH 6R,2018,2018-2019 generation,2018,2026,bag,87.92,1950,7250,,17.86,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Babolat RH; Babolat RH 6R; RH 6R; babolat rh 6r; rh 6r,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000038,Bag,Tennis bag,Babolat,RH,6R,Babolat RH 6R,2019,2018-2019 generation,2018,2026,bag,90.38,1900,7250,,16.77,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Babolat RH; Babolat RH 6R; RH 6R; babolat rh 6r; rh 6r,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000039,Bag,Tennis bag,Babolat,RH,6R,Babolat RH 6R,2020,2020-2021 generation,2018,2026,bag,92.91,1850,7250,,15.75,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Babolat RH; Babolat RH 6R; RH 6R; babolat rh 6r; rh 6r,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000040,Bag,Tennis bag,Babolat,RH,6R,Babolat RH 6R,2021,2020-2021 generation,2018,2026,bag,95.51,1850,7250,,15.68,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Babolat RH; Babolat RH 6R; RH 6R; babolat rh 6r; rh 6r,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000041,Bag,Tennis bag,Babolat,RH,6R,Babolat RH 6R,2022,2022-2023 generation,2018,2026,bag,98.18,2350,7250,,19.16,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Babolat RH; Babolat RH 6R; RH 6R; babolat rh 6r; rh 6r,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000042,Bag,Tennis bag,Babolat,RH,6R,Babolat RH 6R,2023,2022-2023 generation,2018,2026,bag,100.93,3900,7250,,30.9,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Babolat RH; Babolat RH 6R; RH 6R; babolat rh 6r; rh 6r,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000043,Bag,Tennis bag,Babolat,RH,6R,Babolat RH 6R,2024,2024-2025 generation,2018,2026,bag,103.76,6200,7250,,47.7,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Babolat RH; Babolat RH 6R; RH 6R; babolat rh 6r; rh 6r,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000044,Bag,Tennis bag,Babolat,RH,6R,Babolat RH 6R,2025,2024-2025 generation,2018,2026,bag,106.66,6600,7250,,49.5,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Babolat RH; Babolat RH 6R; RH 6R; babolat rh 6r; rh 6r,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000045,Bag,Tennis bag,Babolat,RH,6R,Babolat RH 6R,2026,2026 generation/current,2018,2026,bag,109.65,7250,7250,,52.97,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Babolat RH; Babolat RH 6R; RH 6R; babolat rh 6r; rh 6r,Use as market-reference/original-price feature seed; not a used-sale target row.,
TCAT-000046,Bag,Tennis bag,Babolat,RH,Backpack,Babolat RH Backpack,2018,2018-2019 generation,2018,2026,bag,74.47,1650,6150,,17.86,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Babolat RH; Babolat RH Backpack; RH Backpack; babolat rh backpack; rh backpack,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000047,Bag,Tennis bag,Babolat,RH,Backpack,Babolat RH Backpack,2019,2018-2019 generation,2018,2026,bag,76.55,1600,6150,,16.77,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Babolat RH; Babolat RH Backpack; RH Backpack; babolat rh backpack; rh backpack,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000048,Bag,Tennis bag,Babolat,RH,Backpack,Babolat RH Backpack,2020,2020-2021 generation,2018,2026,bag,78.7,1550,6150,,15.75,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Babolat RH; Babolat RH Backpack; RH Backpack; babolat rh backpack; rh backpack,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000049,Bag,Tennis bag,Babolat,RH,Backpack,Babolat RH Backpack,2021,2020-2021 generation,2018,2026,bag,80.9,1600,6150,,15.68,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Babolat RH; Babolat RH Backpack; RH Backpack; babolat rh backpack; rh backpack,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000050,Bag,Tennis bag,Babolat,RH,Backpack,Babolat RH Backpack,2022,2022-2023 generation,2018,2026,bag,83.17,2000,6150,,19.16,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Babolat RH; Babolat RH Backpack; RH Backpack; babolat rh backpack; rh backpack,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000051,Bag,Tennis bag,Babolat,RH,Backpack,Babolat RH Backpack,2023,2022-2023 generation,2018,2026,bag,85.5,3300,6150,,30.9,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Babolat RH; Babolat RH Backpack; RH Backpack; babolat rh backpack; rh backpack,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000052,Bag,Tennis bag,Babolat,RH,Backpack,Babolat RH Backpack,2024,2024-2025 generation,2018,2026,bag,87.89,5250,6150,,47.7,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Babolat RH; Babolat RH Backpack; RH Backpack; babolat rh backpack; rh backpack,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
TCAT-000053,Bag,Tennis bag,Babolat,RH,Backpack,Babolat RH Backpack,2025,2024-2025 generation,2018,2026,bag,90.35,5600,6150,,49.5,1.25,Estimated from international MSRP/reference + Egypt FX/import multiplier,medium-high,https://www.tennis-warehouse.com/tennis_bags/catpage-bags.html,,Babolat RH; Babolat RH Backpack; RH Backpack; babolat rh backpack; rh backpack,Use as market-reference/original-price feature seed; not a used-sale target row.,Historical price is estimated by year FX and MSRP trend; not a scraped invoice.
